iter	Passed	Remaining
0	9	9808
1	16	8445
2	25	8632
3	33	8347
4	43	8572
5	56	9380
6	70	9979
7	81	10113
8	90	9973
9	98	9715
10	106	9553
11	114	9414
12	123	9396
13	131	9263
14	142	9356
15	156	9619
16	163	9471
17	172	9387
18	179	9282
19	188	9221
20	199	9290
21	209	9335
22	219	9310
23	226	9231
24	236	9217
25	244	9147
26	252	9086
27	264	9181
28	273	9155
29	281	9094
30	293	9171
31	308	9331
32	319	9351
33	328	9346
34	337	9316
35	347	9297
36	355	9255
37	369	9362
38	377	9292
39	388	9313
40	396	9263
41	405	9254
42	418	9321
43	425	9246
44	437	9286
45	449	9328
46	466	9467
47	474	9406
48	485	9415
49	492	9363
50	505	9414
51	513	9370
52	521	9325
53	531	9316
54	539	9264
55	549	9268
56	559	9251
57	571	9274
58	584	9323
59	595	9324
60	604	9311
61	616	9326
62	625	9302
63	636	9313
64	651	9372
65	661	9354
66	669	9328
67	680	9332
68	692	9337
69	703	9344
70	716	9377
71	725	9352
72	739	9393
73	748	9368
74	761	9390
75	771	9374
76	782	9384
77	789	9334
78	802	9353
79	818	9409
80	831	9433
81	841	9419
82	850	9396
83	857	9351
84	865	9320
85	875	9300
86	890	9341
87	898	9314
88	906	9278
89	917	9279
90	928	9279
91	945	9332
92	957	9342
93	966	9316
94	973	9276
95	984	9268
96	994	9257
97	1001	9221
98	1010	9197
99	1021	9194
100	1031	9179
101	1038	9144
102	1049	9139
103	1059	9128
104	1067	9098
105	1081	9122
106	1090	9102
107	1100	9090
108	1108	9060
109	1119	9055
110	1130	9056
111	1142	9059
112	1149	9025
113	1159	9011
114	1175	9044
115	1184	9025
116	1195	9018
117	1202	8988
118	1210	8962
119	1218	8932
120	1227	8920
121	1235	8888
122	1245	8883
123	1252	8849
124	1264	8851
125	1274	8842
126	1284	8827
127	1297	8840
128	1308	8837
129	1317	8814
130	1326	8800
131	1339	8808
132	1352	8814
133	1363	8812
134	1375	8811
135	1382	8781
136	1396	8798
137	1407	8790
138	1425	8828
139	1447	8893
140	1470	8957
141	1492	9018
142	1522	9127
143	1538	9142
144	1552	9151
145	1570	9183
146	1579	9166
147	1595	9184
148	1609	9190
149	1626	9214
150	1639	9220
151	1659	9257
152	1677	9288
153	1690	9284
154	1704	9293
155	1716	9288
156	1726	9268
157	1735	9249
158	1744	9226
159	1759	9239
160	1775	9251
161	1789	9256
162	1804	9266
163	1817	9265
164	1825	9240
165	1839	9241
166	1849	9226
167	1867	9246
168	1878	9235
169	1892	9238
170	1904	9232
171	1917	9229
172	1927	9213
173	1939	9205
174	1949	9189
175	1956	9159
176	1967	9147
177	1978	9136
178	1989	9123
179	2000	9115
180	2010	9097
181	2018	9074
182	2030	9064
183	2042	9059
184	2058	9069
185	2068	9053
186	2083	9060
187	2094	9047
188	2103	9026
189	2114	9014
190	2121	8986
191	2131	8969
192	2140	8951
193	2150	8933
194	2157	8905
195	2168	8897
196	2179	8884
197	2189	8866
198	2203	8869
199	2213	8853
200	2228	8857
201	2238	8842
202	2247	8823
203	2256	8804
204	2267	8793
205	2280	8790
206	2291	8776
207	2303	8771
208	2316	8768
209	2328	8761
210	2341	8753
211	2350	8735
212	2359	8718
213	2368	8699
214	2378	8682
215	2385	8657
216	2395	8645
217	2414	8660
218	2430	8666
219	2442	8658
220	2460	8674
221	2472	8666
222	2483	8654
223	2497	8652
224	2508	8640
225	2516	8620
226	2528	8610
227	2537	8590
228	2548	8580
229	2557	8562
230	2568	8549
231	2576	8529
232	2589	8523
233	2599	8508
234	2609	8496
235	2621	8486
236	2630	8469
237	2639	8451
238	2646	8428
239	2659	8421
240	2668	8404
241	2679	8391
242	2693	8392
243	2706	8384
244	2717	8374
245	2725	8353
246	2735	8339
247	2745	8325
248	2757	8316
249	2770	8311
250	2786	8315
251	2796	8299
252	2806	8286
253	2814	8266
254	2826	8259
255	2843	8264
256	2856	8257
257	2869	8251
258	2884	8251
259	2897	8246
260	2906	8230
261	2916	8215
262	2928	8207
263	2946	8215
264	2956	8199
265	2964	8179
266	2978	8177
267	2989	8164
268	3000	8152
269	3007	8132
270	3017	8116
271	3032	8116
272	3041	8099
273	3053	8091
274	3064	8078
275	3074	8064
276	3089	8063
277	3103	8060
278	3114	8049
279	3128	8044
280	3140	8036
281	3153	8028
282	3165	8019
283	3179	8016
284	3191	8005
285	3203	7998
286	3213	7984
287	3227	7978
288	3237	7964
289	3245	7945
290	3256	7934
291	3264	7916
292	3273	7898
293	3284	7887
294	3295	7875
295	3307	7866
296	3315	7847
297	3327	7839
298	3343	7839
299	3356	7830
300	3365	7814
301	3375	7800
302	3385	7786
303	3396	7776
304	3410	7772
305	3422	7762
306	3433	7750
307	3443	7735
308	3454	7725
309	3463	7708
310	3473	7695
311	3481	7676
312	3490	7661
313	3500	7647
314	3509	7632
315	3527	7635
316	3541	7630
317	3555	7625
318	3565	7611
319	3575	7597
320	3585	7583
321	3592	7565
322	3603	7553
323	3613	7539
324	3626	7532
325	3638	7522
326	3647	7507
327	3656	7491
328	3666	7477
329	3677	7466
330	3690	7459
331	3703	7452
332	3720	7453
333	3736	7449
334	3744	7433
335	3757	7425
336	3768	7413
337	3777	7398
338	3786	7383
339	3798	7373
340	3809	7362
341	3822	7354
342	3835	7345
343	3844	7330
344	3854	7318
345	3869	7313
346	3878	7298
347	3889	7287
348	3903	7282
349	3915	7271
350	3930	7267
351	3944	7260
352	3952	7243
353	3960	7227
354	3975	7223
355	3991	7220
356	4006	7215
357	4020	7210
358	4027	7191
359	4036	7175
360	4052	7172
361	4068	7169
362	4086	7171
363	4100	7164
364	4112	7154
365	4124	7143
366	4134	7131
367	4144	7117
368	4152	7101
369	4162	7088
370	4170	7071
371	4179	7055
372	4187	7039
373	4199	7028
374	4214	7024
375	4226	7013
376	4234	6997
377	4243	6983
378	4253	6969
379	4262	6955
380	4271	6940
381	4280	6924
382	4289	6911
383	4304	6905
384	4317	6897
385	4326	6881
386	4337	6870
387	4348	6858
388	4360	6848
389	4371	6836
390	4380	6823
391	4395	6816
392	4405	6804
393	4414	6790
394	4428	6782
395	4440	6772
396	4455	6767
397	4465	6755
398	4475	6741
399	4485	6728
400	4496	6716
401	4509	6708
402	4517	6692
403	4531	6684
404	4541	6671
405	4556	6666
406	4566	6653
407	4576	6639
408	4585	6625
409	4595	6613
410	4607	6603
411	4619	6593
412	4635	6588
413	4646	6576
414	4659	6567
415	4668	6553
416	4676	6538
417	4688	6528
418	4700	6517
419	4710	6505
420	4721	6493
421	4735	6485
422	4748	6477
423	4757	6462
424	4765	6446
425	4778	6438
426	4788	6426
427	4800	6414
428	4809	6400
429	4818	6387
430	4829	6375
431	4840	6363
432	4847	6347
433	4859	6337
434	4871	6327
435	4877	6310
436	4888	6297
437	4902	6290
438	4911	6275
439	4921	6263
440	4929	6248
441	4937	6233
442	4950	6224
443	4961	6213
444	4973	6203
445	4985	6192
446	4995	6179
447	5004	6165
448	5016	6156
449	5026	6143
450	5040	6136
451	5049	6122
452	5061	6112
453	5073	6102
454	5085	6091
455	5093	6076
456	5104	6065
457	5116	6055
458	5134	6051
459	5144	6039
460	5155	6027
461	5164	6014
462	5171	5998
463	5184	5988
464	5200	5982
465	5216	5977
466	5224	5962
467	5232	5947
468	5241	5934
469	5255	5926
470	5266	5914
471	5278	5904
472	5292	5896
473	5302	5883
474	5311	5871
475	5321	5858
476	5334	5848
477	5350	5843
478	5362	5833
479	5373	5820
480	5381	5806
481	5391	5794
482	5403	5783
483	5420	5779
484	5431	5767
485	5445	5759
486	5453	5744
487	5465	5734
488	5478	5725
489	5490	5714
490	5499	5701
491	5508	5688
492	5520	5677
493	5532	5666
494	5545	5657
495	5565	5655
496	5577	5645
497	5596	5641
498	5605	5628
499	5615	5615
500	5627	5604
501	5634	5590
502	5643	5576
503	5652	5563
504	5664	5552
505	5674	5539
506	5689	5532
507	5700	5520
508	5711	5509
509	5725	5500
510	5735	5488
511	5747	5477
512	5757	5465
513	5766	5452
514	5779	5442
515	5791	5431
516	5800	5419
517	5810	5406
518	5824	5398
519	5834	5385
520	5845	5374
521	5855	5362
522	5865	5349
523	5879	5340
524	5890	5329
525	5899	5316
526	5915	5308
527	5927	5299
528	5942	5290
529	5954	5280
530	5969	5272
531	5980	5260
532	5990	5248
533	5999	5235
534	6013	5226
535	6025	5215
536	6035	5203
537	6044	5190
538	6056	5180
539	6066	5167
540	6076	5155
541	6085	5142
542	6095	5129
543	6110	5122
544	6123	5112
545	6133	5100
546	6152	5094
547	6167	5086
548	6175	5072
549	6186	5061
550	6202	5054
551	6211	5041
552	6224	5031
553	6234	5019
554	6241	5004
555	6254	4994
556	6266	4983
557	6275	4970
558	6286	4959
559	6295	4946
560	6306	4934
561	6317	4923
562	6327	4911
563	6346	4905
564	6356	4894
565	6367	4882
566	6380	4872
567	6388	4858
568	6401	4848
569	6412	4837
570	6421	4824
571	6431	4812
572	6438	4797
573	6447	4785
574	6456	4772
575	6466	4760
576	6476	4748
577	6491	4739
578	6503	4729
579	6515	4718
580	6529	4708
581	6538	4695
582	6550	4685
583	6562	4674
584	6576	4665
585	6587	4653
586	6601	4644
587	6607	4630
588	6620	4619
589	6633	4609
590	6643	4597
591	6653	4585
592	6665	4574
593	6672	4560
594	6683	4549
595	6694	4537
596	6703	4525
597	6714	4513
598	6728	4504
599	6736	4491
600	6748	4480
601	6759	4468
602	6768	4455
603	6775	4442
604	6786	4430
605	6796	4418
606	6809	4408
607	6816	4394
608	6835	4388
609	6845	4376
610	6856	4365
611	6868	4354
612	6877	4341
613	6890	4331
614	6897	4318
615	6905	4304
616	6913	4291
617	6925	4280
618	6940	4271
619	6948	4258
620	6959	4247
621	6966	4233
622	6977	4222
623	6986	4209
624	6997	4198
625	7008	4187
626	7014	4173
627	7023	4160
628	7030	4147
629	7040	4134
630	7050	4122
631	7059	4110
632	7071	4099
633	7080	4087
634	7091	4076
635	7103	4065
636	7113	4053
637	7126	4043
638	7142	4035
639	7153	4023
640	7165	4013
641	7178	4002
642	7188	3991
643	7197	3978
644	7206	3966
645	7214	3953
646	7223	3940
647	7233	3929
648	7242	3917
649	7254	3906
650	7266	3895
651	7276	3883
652	7289	3873
653	7301	3862
654	7311	3851
655	7325	3841
656	7336	3830
657	7343	3816
658	7352	3804
659	7361	3792
660	7371	3780
661	7383	3769
662	7392	3757
663	7402	3745
664	7411	3733
665	7422	3722
666	7435	3712
667	7445	3700
668	7454	3688
669	7466	3677
670	7477	3666
671	7490	3656
672	7503	3645
673	7513	3634
674	7522	3622
675	7534	3611
676	7550	3602
677	7559	3589
678	7575	3581
679	7588	3570
680	7596	3558
681	7603	3545
682	7614	3534
683	7623	3522
684	7638	3512
685	7653	3503
686	7663	3491
687	7670	3478
688	7681	3467
689	7691	3455
690	7699	3442
691	7705	3429
